Election_Year,Region,Ethnic_Group,Language,Education_Level,Population_Density,GDP_per_Capita,Candidate_Origin_Region,Voted_For,Election_Winner_Party
2004,Northern,Ngonde,Chitumbuka,Primary,196,503,Central,UDF,UDF
2004,Central,Nyanja,Chichewa,Secondary,249,786,Central,MCP,UDF
2004,Central,Ngonde,Chichewa,Primary,242,701,Northern,DPP,UDF
2004,Southern,Tumbuka,English,Primary,323,629,Central,MCP,UDF
2004,Central,Sena,Chichewa,Secondary,235,425,Central,Independent,UDF
2004,Southern,Ngonde,Chilomwe,Primary,340,1153,Southern,Other,UDF
2004,Southern,Tumbuka,Chilomwe,Primary,279,646,Central,AFORD,UDF
2004,Northern,Nyanja,English,Secondary,94,503,Southern,PP,UDF
2004,Northern,Lambya/Nyiha,Chitumbuka,Tertiary,201,404,Northern,UDF,UDF
2004,Southern,Tonga,Chilomwe,Tertiary,295,544,Northern,MCP,UDF
2004,Central,Yao,Chichewa,Primary,262,637,Central,MCP,UDF
2004,Southern,Yao,Chilomwe,Primary,280,922,Northern,MCP,UDF
2004,Southern,Ngonde,Chilomwe,Primary,300,973,Southern,DPP,UDF
2004,Central,Chewa,Chichewa,Secondary,171,609,Northern,Independent,UDF
2004,Southern,Ngonde,Chichewa,Secondary,301,953,Central,DPP,UDF
2004,Northern,Sena,Chitumbuka,Primary,139,566,Southern,Other,UDF
2004,Central,Tonga,Chichewa,Primary,63,482,Southern,Independent,UDF
2004,Northern,Lambya/Nyiha,Chitumbuka,Secondary,149,643,Central,MCP,UDF
2004,Central,Ngoni,Chichewa,Primary,245,844,Northern,MCP,UDF
2004,Central,Ngoni,Chiyao,Primary,201,755,Northern,MCP,UDF
2004,Central,Yao,Chichewa,Primary,416,791,Southern,PP,UDF
2004,Central,Ngoni,Chichewa,Secondary,80,788,Northern,UDF,UDF
2004,Northern,Lomwe,English,Primary,96,348,Northern,UDF,UDF
2004,Central,Tonga,Chichewa,Secondary,80,688,Southern,Other,UDF
2004,Northern,Tumbuka,Chitumbuka,Primary,173,537,Central,MCP,UDF
2004,Northern,Nyanja,Chitumbuka,No formal,122,473,Northern,UDF,UDF
2004,Northern,Ngoni,English,Secondary,60,281,Southern,MCP,UDF
2004,Central,Tonga,English,Primary,167,422,Central,DPP,UDF
2004,Northern,Ngoni,Chitumbuka,Secondary,44,504,Central,DPP,UDF
2004,Central,Chewa,Chichewa,Tertiary,225,912,Central,DPP,UDF
2004,Central,Chewa,Chichewa,Primary,173,482,Southern,UDF,UDF
2004,Central,Ngonde,Chichewa,Primary,292,807,Central,UDF,UDF
2004,Southern,Yao,Chilomwe,Primary,319,1296,Northern,MCP,UDF
2004,Central,Yao,Chichewa,Secondary,204,839,Central,MCP,UDF
2004,Northern,Tonga,Chitumbuka,Primary,194,519,Southern,MCP,UDF
2004,Northern,Yao,English,Primary,125,700,Central,Other,UDF
2004,Southern,Ngoni,Chilomwe,Primary,499,876,Central,DPP,UDF
2004,Central,Tonga,English,No formal,252,503,Northern,Independent,UDF
2004,Central,Tumbuka,Chichewa,Primary,160,429,Northern,MCP,UDF
2004,Central,Lomwe,Chichewa,Secondary,203,569,Southern,MCP,UDF
2004,Southern,Tumbuka,Chilomwe,Primary,240,985,Southern,Independent,UDF
2004,Northern,Tumbuka,Chichewa,Primary,88,736,Central,DPP,UDF
2004,Southern,Tonga,Chichewa,No formal,164,834,Northern,DPP,UDF
2004,Central,Ngonde,Chichewa,Primary,330,709,Southern,Other,UDF
2004,Northern,Chewa,English,Secondary,141,290,Central,UDF,UDF
2004,Central,Tumbuka,Chichewa,Primary,191,926,Southern,UDF,UDF
2004,Northern,Tonga,Chitumbuka,No formal,147,682,Central,UDF,UDF
2004,Central,Tonga,Chiyao,No formal,233,783,Northern,UDF,UDF
2004,Southern,Chewa,Chilomwe,Primary,229,655,Central,DPP,UDF
2004,Central,Tonga,Chichewa,Secondary,199,628,Northern,UDF,UDF
2004,Central,Sena,Chichewa,Secondary,347,643,Southern,MCP,UDF
2004,Northern,Sena,Chitumbuka,Secondary,76,338,Southern,Independent,UDF
2004,Southern,Nyanja,Chilomwe,Secondary,309,1129,Northern,DPP,UDF
2004,Central,Ngonde,Chichewa,Tertiary,291,960,Northern,AFORD,UDF
2004,Central,Nyanja,Chichewa,Tertiary,157,437,Northern,UDF,UDF
2004,Northern,Ngonde,English,Secondary,158,251,Northern,AFORD,UDF
2004,Central,Nyanja,Chichewa,Primary,360,706,Central,UDF,UDF
2004,Central,Chewa,Chichewa,Secondary,164,860,Central,UDF,UDF
2004,Northern,Yao,English,Primary,76,117,Central,UDF,UDF
2004,Northern,Sena,English,Primary,243,244,Northern,UDF,UDF
2004,Central,Chewa,Chichewa,No formal,280,759,Southern,Other,UDF
2004,Central,Tumbuka,Chichewa,Primary,276,328,Central,AFORD,UDF
2004,Northern,Lomwe,Chichewa,Tertiary,129,376,Central,UDF,UDF
2004,Northern,Chewa,Chitumbuka,Primary,29,432,Central,DPP,UDF
2004,Central,Nyanja,English,Secondary,171,717,Central,Other,UDF
2004,Central,Ngoni,Chichewa,Secondary,202,743,Northern,UDF,UDF
2004,Northern,Ngonde,Chitumbuka,No formal,163,532,Central,Other,UDF
2004,Central,Yao,Chichewa,No formal,295,864,Northern,Independent,UDF
2004,Southern,Yao,Chilomwe,Primary,327,836,Southern,DPP,UDF
2004,Central,Sena,Chichewa,Primary,166,527,Northern,PP,UDF
2004,Southern,Nyanja,Chilomwe,No formal,174,1023,Southern,DPP,UDF
2004,Northern,Tumbuka,Chichewa,Secondary,150,358,Northern,UDF,UDF
2004,Central,Nyanja,Chichewa,Secondary,85,801,Central,Independent,UDF
2004,Central,Nyanja,Chiyao,No formal,250,808,Northern,Other,UDF
2004,Southern,Ngoni,Chichewa,Primary,236,759,Southern,DPP,UDF
2004,Southern,Ngoni,Chilomwe,Tertiary,353,1070,Southern,MCP,UDF
2004,Central,Lomwe,English,Primary,392,688,Central,MCP,UDF
2004,Northern,Nyanja,English,Secondary,20,516,Northern,PP,UDF
2004,Central,Ngonde,English,Primary,116,995,Northern,MCP,UDF
2004,Central,Tumbuka,English,Secondary,268,707,Northern,UDF,UDF
2004,Southern,Tonga,Chilomwe,Secondary,450,974,Central,Other,UDF
2004,Northern,Yao,Chitumbuka,No formal,141,401,Southern,Independent,UDF
2004,Central,Chewa,Chichewa,Tertiary,208,599,Northern,UDF,UDF
2004,Northern,Ngoni,Chitumbuka,Primary,239,552,Northern,UDF,UDF
2004,Central,Tumbuka,Chichewa,Primary,329,452,Central,UDF,UDF
2004,Northern,Lomwe,Chitumbuka,Primary,208,406,Southern,UDF,UDF
2004,Southern,Chewa,Chichewa,Primary,444,716,Central,DPP,UDF
2004,Southern,Ngonde,Chilomwe,Tertiary,386,919,Northern,MCP,UDF
2004,Southern,Tonga,English,Primary,365,735,Northern,UDF,UDF
2004,Central,Nyanja,Chichewa,No formal,244,751,Northern,MCP,UDF
2004,Northern,Lomwe,Chitumbuka,Secondary,82,435,Northern,UDF,UDF
2004,Southern,Tonga,Chilomwe,Primary,396,436,Central,MCP,UDF
2004,Southern,Tonga,Chilomwe,Secondary,452,1130,Southern,MCP,UDF
2004,Southern,Tonga,Chilomwe,Primary,420,839,Central,DPP,UDF
2004,Northern,Lambya/Nyiha,Chitumbuka,Primary,82,373,Central,AFORD,UDF
2004,Central,Sena,Chichewa,Primary,371,771,Central,UDF,UDF
2004,Northern,Tonga,Chitumbuka,No formal,94,320,Central,UDF,UDF
2004,Northern,Sena,Chitumbuka,Secondary,168,351,Southern,Other,UDF
2004,Central,Nyanja,Chichewa,No formal,230,579,Southern,PP,UDF
2004,Northern,Yao,Chitumbuka,Primary,106,712,Central,PP,UDF
2004,Northern,Nyanja,Chitumbuka,Primary,198,388,Southern,Independent,UDF
2004,Northern,Lambya/Nyiha,Chichewa,Primary,83,242,Southern,DPP,UDF
2004,Southern,Nyanja,Chichewa,Tertiary,439,1049,Northern,DPP,UDF
2004,Central,Ngoni,Chichewa,No formal,194,948,Central,UDF,UDF
2004,Central,Chewa,Chichewa,Secondary,257,614,Northern,MCP,UDF
2004,Central,Lomwe,Chichewa,Secondary,330,878,Southern,MCP,UDF
2004,Central,Chewa,Chiyao,Tertiary,201,614,Central,DPP,UDF
2004,Central,Lambya/Nyiha,English,Primary,287,432,Central,MCP,UDF
2004,Central,Ngonde,Chichewa,Primary,269,594,Central,MCP,UDF
2004,Central,Lomwe,Chichewa,Secondary,193,861,Southern,Independent,UDF
2004,Central,Ngoni,Chiyao,No formal,197,426,Southern,MCP,UDF
2004,Northern,Lambya/Nyiha,Chichewa,Primary,47,566,Central,Other,UDF
2004,Southern,Nyanja,Chichewa,Secondary,299,581,Northern,AFORD,UDF
2004,Central,Chewa,Chichewa,Primary,224,506,Central,UDF,UDF
2004,Southern,Ngonde,Chichewa,Primary,194,895,Southern,PP,UDF
2004,Northern,Sena,English,Primary,84,449,Central,UDF,UDF
2004,Southern,Yao,English,Tertiary,200,675,Southern,DPP,UDF
2004,Southern,Chewa,Chichewa,Primary,435,662,Southern,Other,UDF
2004,Southern,Ngonde,English,No formal,252,582,Northern,MCP,UDF
2004,Southern,Sena,Chilomwe,Secondary,368,639,Central,UDF,UDF
2004,Northern,Lomwe,Chichewa,Primary,59,419,Central,DPP,UDF
2004,Southern,Tumbuka,Chilomwe,No formal,345,673,Central,UDF,UDF
2004,Central,Lomwe,Chichewa,Secondary,270,829,Central,PP,UDF
2004,Northern,Nyanja,English,Primary,115,536,Southern,AFORD,UDF
2004,Southern,Tumbuka,Chichewa,Primary,383,929,Central,AFORD,UDF
2004,Central,Tonga,Chichewa,Tertiary,195,881,Northern,MCP,UDF
2004,Central,Nyanja,Chichewa,Tertiary,193,730,Southern,MCP,UDF
2004,Northern,Yao,Chitumbuka,Primary,124,159,Central,UDF,UDF
2004,Central,Yao,Chichewa,Primary,279,518,Central,MCP,UDF
2004,Southern,Chewa,Chilomwe,Secondary,273,1039,Southern,DPP,UDF
2004,Southern,Tonga,Chilomwe,No formal,466,720,Central,DPP,UDF
2004,Central,Chewa,Chichewa,Secondary,88,585,Southern,UDF,UDF
2004,Northern,Tumbuka,English,Secondary,120,654,Central,Independent,UDF
2004,Central,Nyanja,Chichewa,Primary,364,585,Central,MCP,UDF
2004,Northern,Nyanja,Chichewa,No formal,141,351,Central,Other,UDF
2004,Central,Lomwe,Chichewa,Secondary,293,366,Northern,PP,UDF
2004,Southern,Lambya/Nyiha,Chilomwe,Primary,326,840,Northern,MCP,UDF
2004,Central,Lambya/Nyiha,Chichewa,No formal,297,754,Central,DPP,UDF
2004,Central,Ngoni,English,Secondary,263,502,Central,AFORD,UDF
2004,Northern,Lambya/Nyiha,Chichewa,Secondary,136,577,Central,PP,UDF
2004,Southern,Tonga,Chichewa,Secondary,499,880,Northern,PP,UDF
2004,Southern,Lomwe,English,Secondary,393,355,Northern,UDF,UDF
2004,Southern,Nyanja,Chilomwe,No formal,301,671,Northern,DPP,UDF
2004,Southern,Chewa,English,Secondary,411,719,Northern,DPP,UDF
2004,Central,Nyanja,Chichewa,Primary,166,540,Southern,DPP,UDF
2004,Central,Lambya/Nyiha,Chichewa,Primary,261,448,Central,DPP,UDF
2004,Central,Sena,Chiyao,Primary,189,559,Southern,UDF,UDF
2004,Southern,Lambya/Nyiha,Chichewa,Primary,272,920,Southern,UDF,UDF
2004,Southern,Nyanja,Chilomwe,Tertiary,395,872,Central,DPP,UDF
2004,Central,Tumbuka,Chichewa,Secondary,292,648,Central,Independent,UDF
2004,Central,Ngoni,Chichewa,No formal,311,671,Central,DPP,UDF
2004,Southern,Lambya/Nyiha,Chichewa,Secondary,299,930,Central,UDF,UDF
2004,Central,Chewa,Chichewa,Primary,284,665,Central,MCP,UDF
2004,Southern,Lomwe,Chilomwe,No formal,290,362,Central,UDF,UDF
2004,Central,Lomwe,Chichewa,Primary,209,418,Central,Independent,UDF
2004,Central,Lomwe,English,Primary,125,1014,Central,MCP,UDF
2004,Southern,Ngonde,Chilomwe,Primary,343,968,Southern,UDF,UDF
2004,Northern,Nyanja,Chitumbuka,Primary,136,249,Central,DPP,UDF
2004,Central,Yao,Chiyao,Primary,202,677,Central,MCP,UDF
2004,Northern,Yao,Chitumbuka,Secondary,182,422,Central,DPP,UDF
2004,Central,Tonga,Chichewa,Primary,216,381,Southern,Other,UDF
2004,Central,Lambya/Nyiha,Chichewa,Secondary,69,676,Southern,MCP,UDF
2004,Central,Sena,Chichewa,Primary,163,901,Northern,AFORD,UDF
2004,Central,Lambya/Nyiha,Chichewa,Tertiary,218,527,Central,Independent,UDF
2004,Central,Sena,Chichewa,Primary,169,740,Southern,UDF,UDF
2004,Northern,Nyanja,Chitumbuka,Primary,22,784,Central,UDF,UDF
2004,Southern,Tonga,English,Primary,306,637,Southern,Independent,UDF
2004,Northern,Tumbuka,Chitumbuka,Tertiary,244,767,Southern,UDF,UDF
2004,Southern,Sena,Chilomwe,Secondary,167,374,Southern,DPP,UDF
2004,Central,Nyanja,Chichewa,Primary,318,761,Northern,Other,UDF
2004,Central,Lomwe,Chiyao,Tertiary,147,660,Central,DPP,UDF
2004,Central,Ngonde,Chichewa,No formal,152,880,Southern,UDF,UDF
2004,Northern,Lomwe,Chichewa,No formal,84,559,Central,UDF,UDF
2004,Central,Tonga,Chichewa,Primary,103,609,Central,UDF,UDF
2004,Southern,Nyanja,Chilomwe,Primary,392,614,Central,PP,UDF
2004,Southern,Tonga,Chichewa,Tertiary,270,484,Southern,DPP,UDF
2004,Southern,Ngoni,Chilomwe,Primary,298,975,Central,Independent,UDF
2004,Central,Lambya/Nyiha,Chichewa,Secondary,189,623,Central,Independent,UDF
2004,Northern,Ngoni,Chichewa,Primary,202,161,Northern,PP,UDF
2004,Northern,Ngoni,Chitumbuka,Primary,140,638,Central,UDF,UDF
2004,Central,Tumbuka,Chiyao,Tertiary,337,525,Central,MCP,UDF
2004,Northern,Nyanja,Chitumbuka,Primary,196,373,Central,MCP,UDF
2004,Central,Nyanja,Chiyao,Secondary,360,813,Southern,Independent,UDF
2004,Southern,Lambya/Nyiha,Chilomwe,Primary,465,1056,Central,DPP,UDF
2004,Northern,Yao,Chitumbuka,No formal,146,487,Northern,AFORD,UDF
2004,Southern,Lambya/Nyiha,English,Secondary,243,982,Central,UDF,UDF
2004,Central,Ngonde,Chichewa,Secondary,246,535,Southern,UDF,UDF
2004,Central,Ngonde,Chichewa,Secondary,155,538,Southern,Other,UDF
2004,Central,Ngonde,Chichewa,Secondary,258,570,Northern,PP,UDF
2004,Central,Sena,Chichewa,Tertiary,234,491,Northern,AFORD,UDF
2004,Central,Ngonde,Chichewa,Secondary,204,753,Central,MCP,UDF
2004,Southern,Yao,Chilomwe,Secondary,309,1022,Central,DPP,UDF
2004,Northern,Tonga,Chitumbuka,Primary,35,636,Southern,MCP,UDF
2004,Northern,Ngoni,Chitumbuka,Primary,123,339,Central,PP,UDF
2004,Central,Lomwe,Chichewa,Primary,204,1049,Central,MCP,UDF
2004,Northern,Lomwe,English,Tertiary,158,681,Central,Independent,UDF
2004,Southern,Ngonde,English,Primary,480,639,Central,DPP,UDF
2004,Central,Sena,English,Primary,112,564,Central,DPP,UDF
2004,Central,Lomwe,Chichewa,Tertiary,231,665,Southern,UDF,UDF
2004,Central,Lomwe,Chichewa,Secondary,358,322,Central,UDF,UDF
2004,Southern,Yao,Chilomwe,Primary,261,621,Northern,DPP,UDF
2004,Central,Ngoni,Chichewa,Secondary,213,1061,Northern,Independent,UDF
2004,Central,Nyanja,Chichewa,Secondary,221,335,Central,MCP,UDF
2004,Northern,Lomwe,Chitumbuka,Secondary,156,585,Central,AFORD,UDF
2004,Central,Lomwe,Chichewa,Primary,216,822,Northern,UDF,UDF
2004,Northern,Lomwe,Chitumbuka,Secondary,113,434,Northern,UDF,UDF
2004,Central,Tumbuka,Chichewa,Primary,314,545,Southern,UDF,UDF
2004,Central,Ngonde,English,Primary,275,524,Central,PP,UDF
2004,Central,Sena,Chichewa,Secondary,239,364,Northern,MCP,UDF
2004,Southern,Tumbuka,Chichewa,Secondary,373,965,Northern,AFORD,UDF
2004,Northern,Yao,Chichewa,Primary,167,315,Central,Independent,UDF
2004,Southern,Sena,English,Primary,387,651,Central,Independent,UDF
2004,Southern,Chewa,Chilomwe,Primary,483,961,Southern,PP,UDF
2004,Central,Chewa,Chichewa,Primary,193,710,Central,Independent,UDF
2004,Central,Tumbuka,English,Primary,119,466,Northern,DPP,UDF
2004,Northern,Ngoni,Chitumbuka,Secondary,267,554,Northern,UDF,UDF
2004,Northern,Chewa,English,Secondary,204,862,Southern,UDF,UDF
2004,Northern,Yao,Chichewa,Secondary,171,536,Southern,DPP,UDF
2004,Southern,Ngonde,Chilomwe,No formal,324,887,Central,UDF,UDF
2004,Southern,Lambya/Nyiha,Chichewa,Primary,362,468,Southern,UDF,UDF
2004,Central,Ngoni,Chichewa,Primary,259,1003,Southern,UDF,UDF
2004,Southern,Tonga,Chichewa,Secondary,382,832,Central,Other,UDF
2004,Southern,Ngoni,English,No formal,158,1018,Central,DPP,UDF
2004,Northern,Tonga,Chichewa,Primary,134,575,Northern,PP,UDF
2004,Southern,Chewa,Chilomwe,Tertiary,273,1010,Central,DPP,UDF
2004,Northern,Chewa,Chitumbuka,Primary,181,357,Central,Independent,UDF
2004,Northern,Chewa,Chichewa,Secondary,227,759,Northern,UDF,UDF
2004,Southern,Ngonde,English,Primary,229,784,Central,DPP,UDF
2004,Central,Ngonde,Chichewa,Primary,269,692,Central,MCP,UDF
2004,Central,Ngonde,Chichewa,Tertiary,147,544,Central,Other,UDF
2004,Central,Ngonde,Chichewa,Primary,175,743,Northern,UDF,UDF
2004,Central,Tonga,Chichewa,Primary,292,850,Central,MCP,UDF
2004,Southern,Yao,Chilomwe,Primary,392,1214,Northern,DPP,UDF
2004,Southern,Ngonde,Chichewa,Primary,339,1012,Central,Other,UDF
2004,Central,Nyanja,Chichewa,Secondary,189,515,Northern,MCP,UDF
2004,Central,Ngonde,English,Primary,280,782,Southern,MCP,UDF
2004,Central,Tumbuka,Chichewa,Primary,196,647,Southern,UDF,UDF
2004,Southern,Lambya/Nyiha,Chilomwe,Primary,229,1179,Southern,PP,UDF
2004,Northern,Tumbuka,Chitumbuka,Primary,174,638,Central,Other,UDF
2004,Central,Chewa,Chiyao,Primary,199,687,Central,MCP,UDF
2004,Central,Lambya/Nyiha,Chichewa,Primary,236,769,Southern,MCP,UDF
2004,Central,Tonga,English,Secondary,176,351,Central,MCP,UDF
2004,Northern,Tonga,Chitumbuka,Primary,145,562,Central,UDF,UDF
2004,Central,Nyanja,English,Secondary,226,744,Central,MCP,UDF
2004,Central,Tonga,Chichewa,Secondary,252,684,Central,MCP,UDF
2004,Northern,Lomwe,Chitumbuka,Tertiary,81,682,Central,Other,UDF
2004,Central,Nyanja,Chichewa,Primary,248,466,Northern,DPP,UDF
2004,Southern,Yao,Chilomwe,Tertiary,396,785,Northern,DPP,UDF
2004,Northern,Lomwe,Chitumbuka,Primary,163,429,Southern,DPP,UDF
2004,Southern,Chewa,Chilomwe,Secondary,341,765,Southern,UDF,UDF
2004,Northern,Yao,Chitumbuka,No formal,20,281,Northern,PP,UDF
2004,Central,Tonga,English,Secondary,246,650,Southern,DPP,UDF
2004,Northern,Lomwe,Chitumbuka,Primary,109,640,Northern,UDF,UDF
2004,Central,Tumbuka,Chiyao,No formal,302,425,Southern,PP,UDF
2004,Central,Tumbuka,Chichewa,Tertiary,261,457,Southern,Other,UDF
2004,Central,Lomwe,English,Tertiary,148,552,Central,Other,UDF
2004,Northern,Tonga,English,No formal,219,102,Southern,MCP,UDF
2004,Southern,Nyanja,Chichewa,Secondary,385,1024,Northern,UDF,UDF
2004,Central,Nyanja,Chichewa,Secondary,244,890,Southern,UDF,UDF
2004,Southern,Lomwe,Chichewa,Primary,472,742,Central,UDF,UDF
2004,Northern,Lambya/Nyiha,Chitumbuka,Secondary,179,494,Southern,DPP,UDF
2004,Northern,Ngonde,Chitumbuka,No formal,80,596,Southern,UDF,UDF
2004,Southern,Ngonde,Chilomwe,Tertiary,417,1275,Central,Independent,UDF
2004,Central,Tonga,Chichewa,Primary,290,582,Central,Independent,UDF
2004,Central,Tumbuka,English,Primary,163,558,Central,MCP,UDF
2004,Northern,Ngonde,Chitumbuka,Primary,176,466,Northern,PP,UDF
2004,Central,Ngonde,Chichewa,Tertiary,258,578,Southern,AFORD,UDF
2004,Central,Tumbuka,English,Primary,188,633,Northern,UDF,UDF
2004,Central,Ngoni,Chiyao,Secondary,121,510,Northern,Independent,UDF
2004,Southern,Yao,Chilomwe,Tertiary,364,876,Central,MCP,UDF
2004,Central,Lomwe,Chichewa,Primary,213,588,Central,AFORD,UDF
2004,Southern,Ngonde,Chilomwe,Secondary,485,495,Central,UDF,UDF
2004,Central,Nyanja,Chichewa,Secondary,289,872,Central,UDF,UDF
2004,Central,Chewa,Chichewa,Primary,175,394,Northern,MCP,UDF
2004,Southern,Nyanja,Chilomwe,Secondary,471,574,Northern,UDF,UDF
2004,Southern,Ngoni,Chilomwe,Tertiary,268,388,Central,DPP,UDF
2004,Northern,Chewa,Chitumbuka,Tertiary,176,459,Central,DPP,UDF
2004,Central,Nyanja,Chichewa,Primary,202,831,Central,MCP,UDF
2004,Central,Lomwe,Chichewa,Secondary,300,587,Southern,PP,UDF
2004,Northern,Lambya/Nyiha,Chitumbuka,No formal,228,485,Southern,Other,UDF
2004,Central,Chewa,Chichewa,No formal,246,651,Northern,MCP,UDF
2004,Southern,Yao,Chilomwe,Primary,416,1016,Central,DPP,UDF
2004,Central,Chewa,Chichewa,Primary,190,405,Central,MCP,UDF
